MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
New York City 403 7
Torino 403 11
Madrid 404 11
New York City 404 4
Torino 404 15
Madrid 405 24
New York City 405 9
Torino 405 14
Madrid 406 16
Torino 406 10
New York City 406 7
New York City 407 6
Madrid 407 23
Torino 407 11
New York City 408 6
Madrid 408 14
Torino 408 12
Madrid 409 23
New York City 409 7
Torino 409 13
New York City 410 4
Madrid 410 25
Torino 410 12
Madrid 411 13
New York City 411 2
Torino 411 10
Madrid 412 26
New York City 412 13
Torino 412 8
New York City 413 11
Madrid 413 17
Torino 413 17
New York City 414 6
Madrid 414 27
Torino 414 9
New York City 415 2
Madrid 415 22
Torino 415 19
Torino 416 19
Madrid 416 34
New York City 416 10
Madrid 417 29
Torino 417 21
New York City 417 11
Torino 418 26
Madrid 418 37
New York City 418 13
Madrid 419 55
Torino 419 34
New York City 419 15
Madrid 420 67
New York City 420 12
Torino 420 54
Madrid 421 72
New York City 421 26
Torino 421 39
Madrid 422 73
New York City 422 30
Torino 422 63
Madrid 423 71
New York City 423 29
Torino 423 81
Madrid 424 88
New York City 424 27
Torino 424 59
Madrid 425 91
New York City 425 33
Torino 425 58
Madrid 426 81
New York City 426 27
Torino 426 61
Madrid 427 67
New York City 427 27
Torino 427 54
Madrid 428 63
Torino 428 45
New York City 428 19
Madrid 429 71
New York City 429 30
Torino 429 46
Madrid 430 45
New York City 430 21
Torino 430 35
Madrid 431 64
New York City 431 16
Torino 431 40
Torino 432 28
New York City 432 28
Madrid 432 36
Madrid 433 49
Torino 433 32
New York City 433 21
Torino 434 31
Madrid 434 55
New York City 434 27
Madrid 435 46
Torino 435 24
New York City 435 23
New York City 436 24
Madrid 436 33
Torino 436 16
New York City 437 11
Madrid 437 24
Torino 437 19
Madrid 438 18
New York City 438 12
Torino 438 18
Madrid 439 23
New York City 439 26
Torino 439 17
Torino 440 13
Madrid 440 34
New York City 440 9
Madrid 441 22
Torino 441 12
New York City 441 11
Madrid 442 27
New York City 442 11
Torino 442 20
Madrid 443 22
Torino 443 18
New York City 443 23
New York City 444 13
Madrid 444 24
Torino 444 8
