ID_INT,PROGR_USC,PROGR_SPOST,SESSO,FASCIA_ETA,COD_ZONA_RES,SCOPO,COD_ZONA_PAR,PROV_PAR,ORA_PAR,COD_ZONA_ARR,PROV_ARR,ORA_ARR,USO_MEZZ,MEZZO1,MEZZO2,MEZZO3,PAX_AUTO,NUM_LIN_URB,COD_ALTROURB,COD_ZONA_2M,PROV_2M,ORA_2MEZZO,COD_ZONA_3M,PROV_3M,ORA_3MEZZO,TASSO_CAMP
7571085,1,1,1,3,T000,4,Q015,1,02/02/2017 09:00,Q015,1,02/02/2017 09:10,1,3,,,0,,,,,,,,,0.958685232
7571085,1,2,1,3,T000,8,Q015,1,02/02/2017 11:50,Q015,1,02/02/2017 12:00,1,3,,,0,,,,,,,,,0.958685232
7571086,1,1,2,3,T000,9,Q014,1,02/02/2017 07:30,Q015,1,02/02/2017 08:00,1,3,,,0,,,,,,,,,0.9936407
7571086,1,2,2,3,T000,8,Q015,1,02/02/2017 15:30,Q014,1,02/02/2017 16:00,1,3,,,0,,,,,,,,,0.9936407
7571088,1,1,2,2,T000,1,Q002,1,02/02/2017 07:30,Q001,1,02/02/2017 07:45,1,6,,,,1,,,,,,,,0.996309963
7571088,1,2,2,2,T000,8,Q001,1,02/02/2017 13:45,Q002,1,02/02/2017 14:00,1,6,,,,1,,,,,,,,0.996309963
7571088,2,1,2,2,T000,9,Q002,1,02/02/2017 15:00,Q010,1,02/02/2017 15:40,1,6,,,,1,,,,,,,,0.996309963
7571088,2,2,2,2,T000,8,Q010,1,02/02/2017 18:30,Q002,1,02/02/2017 19:00,1,6,,,,1,,,,,,,,0.996309963
7571098,1,1,1,2,T000,1,Q005,1,02/02/2017 07:30,Q001,1,02/02/2017 08:00,1,6,,,,1,,,,,,,,1.003199862
7571098,1,2,1,2,T000,8,Q001,1,02/02/2017 16:30,Q005,1,02/02/2017 17:00,1,6,,,,1,,,,,,,,1.003199862
7571099,1,1,2,1,T000,3,Q017,1,02/02/2017 07:10,Q001,1,02/02/2017 07:45,1,6,,,,1,,,,,,,,0.776699029
7571099,1,2,2,1,T000,8,Q001,1,02/02/2017 13:00,Q017,1,02/02/2017 13:15,1,6,,,,1,,,,,,,,0.776699029
7571108,1,1,1,4,T000,9,Q003,1,02/02/2017 17:00,Q004,1,02/02/2017 17:15,1,3,,,0,,,,,,,,,0.975345435
7571108,1,2,1,4,T000,8,Q004,1,02/02/2017 18:45,Q003,1,02/02/2017 19:00,1,3,,,0,,,,,,,,,0.975345435
7571109,1,1,2,2,T000,4,Q010,1,02/02/2017 08:30,Q010,1,02/02/2017 08:36,2,,,,,,,,,,,,,1.003273841
7571109,1,2,2,2,T000,8,Q010,1,02/02/2017 10:20,Q010,1,02/02/2017 10:30,2,,,,,,,,,,,,,1.003273841
7571115,1,1,1,2,T000,2,Q002,1,02/02/2017 08:00,Q001,1,02/02/2017 08:20,2,,,,,,,,,,,,,1.000964785
7571115,1,2,1,2,T000,8,Q001,1,02/02/2017 12:30,Q002,1,02/02/2017 13:00,2,,,,,,,,,,,,,1.000964785
7571115,2,1,1,2,T000,7,Q002,1,02/02/2017 15:00,Q001,1,02/02/2017 15:15,2,,,,,,,,,,,,,1.000964785
7571115,2,2,1,2,T000,7,Q001,1,02/02/2017 17:30,Q001,1,02/02/2017 18:00,2,,,,,,,,,,,,,1.000964785
7571115,2,3,1,2,T000,7,Q001,1,02/02/2017 20:00,Q001,1,02/02/2017 21:00,2,,,,,,,,,,,,,1.000964785
7571115,2,4,1,2,T000,8,Q001,1,02/02/2017 23:00,Q002,1,02/02/2017 23:30,2,,,,,,,,,,,,,1.000964785
7571128,1,1,1,3,T000,4,Q018,1,02/02/2017 10:30,Q001,1,02/02/2017 10:45,2,,,,,,,,,,,,,0.987480162
7571128,1,2,1,3,T000,8,Q001,1,02/02/2017 11:40,Q018,1,02/02/2017 12:00,2,,,,,,,,,,,,,0.987480162
7571128,2,1,1,3,T000,4,Q018,1,02/02/2017 17:00,Q006,1,02/02/2017 17:20,2,,,,,,,,,,,,,0.987480162
