DAYS,SESSO,FASCIA,SCOPO,COMBO,ENOJY,CAR2GO,TOTAL
weekdays,['2'],['2'],['8'],['2']['2']['8'],0.889665589,0.878831345,0.862391624
weekdays,['2'],['2'],['1'],['2']['2']['1'],0.89953918,0.884395488,0.871035116
weekdays,['1'],['2'],['1'],['1']['2']['1'],0.882056203,0.913498936,0.889691615
weekdays,['1'],['3'],['8'],['1']['3']['8'],0.956107833,0.937253887,0.930582461
weekdays,['2'],['3'],['8'],['2']['3']['8'],0.977434998,0.979335528,0.966754176
weekdays,['1'],['4'],['8'],['1']['4']['8'],1.081502108,1.070574837,1.060154452
weekdays,['1'],['2'],['7'],['1']['2']['7'],1.086967093,1.055319161,1.060968922
weekdays,['2'],['4'],['8'],['2']['4']['8'],1.094684194,1.068997231,1.066686119
weekdays,['1'],['3'],['4'],['1']['3']['4'],1.137550998,1.112880284,1.114926234
weekdays,['2'],['2'],['4'],['2']['2']['4'],1.175225313,1.14336323,1.153108937
weekdays,['2'],['3'],['4'],['2']['3']['4'],1.176493776,1.161768888,1.158062904
weekdays,['1'],['1'],['8'],['1']['1']['8'],1.158618353,1.181484501,1.163616901
weekdays,['2'],['3'],['1'],['2']['3']['1'],1.147753265,1.189243202,1.166030037
weekdays,['1'],['4'],['4'],['1']['4']['4'],1.189313001,1.169606872,1.167218215
weekdays,['2'],['1'],['8'],['2']['1']['8'],1.176755373,1.183160055,1.173873716
weekdays,['2'],['2'],['7'],['2']['2']['7'],1.223090337,1.178569677,1.19509663
weekdays,['1'],['3'],['1'],['1']['3']['1'],1.224609753,1.187735742,1.198573437
weekdays,['1'],['2'],['4'],['1']['2']['4'],1.209963048,1.205043647,1.201410803
weekdays,['2'],['4'],['4'],['2']['4']['4'],1.245133217,1.21488847,1.217449896
weekdays,['2'],['2'],['5'],['2']['2']['5'],1.267290458,1.247529788,1.246840693
weekdays,['1'],['4'],['7'],['1']['4']['7'],1.304139549,1.260224961,1.275346847
weekdays,['1'],['3'],['7'],['1']['3']['7'],1.332485199,1.242508302,1.278045012
weekdays,['2'],['1'],['3'],['2']['1']['3'],1.30618068,1.294223377,1.288797475
weekdays,['1'],['2'],['5'],['1']['2']['5'],1.331756034,1.330927492,1.3216626
weekdays,['1'],['2'],['2'],['1']['2']['2'],1.390036013,1.340075982,1.359054019
weekdays,['2'],['3'],['7'],['2']['3']['7'],1.391978986,1.360826062,1.371911187
weekdays,['2'],['4'],['7'],['2']['4']['7'],1.422848197,1.352351047,1.381154928
weekdays,['1'],['1'],['3'],['1']['1']['3'],1.383011867,1.385524374,1.381889081
weekdays,['1'],['2'],['3'],['1']['2']['3'],1.39438734,1.437019538,1.418021571
weekdays,['1'],['1'],['7'],['1']['1']['7'],1.445152463,1.430299046,1.429302979
weekdays,['2'],['2'],['6'],['2']['2']['6'],1.466496744,1.460330307,1.457657094
weekdays,['2'],['1'],['7'],['2']['1']['7'],1.513097867,1.449764228,1.475193408
weekdays,['2'],['2'],['2'],['2']['2']['2'],1.554343265,1.459969919,1.493319547
weekdays,['2'],['2'],['9'],['2']['2']['9'],1.530990949,1.532233684,1.528295528
weekdays,['2'],['4'],['9'],['2']['4']['9'],1.520331949,1.540201234,1.530409672
weekdays,['2'],['3'],['6'],['2']['3']['6'],1.53488982,1.538100462,1.53520509
weekdays,['2'],['4'],['6'],['2']['4']['6'],1.548323614,1.556534284,1.551705539
weekdays,['1'],['3'],['2'],['1']['3']['2'],1.587267789,1.566886218,1.575659626
weekdays,['1'],['3'],['5'],['1']['3']['5'],1.56653772,1.594869028,1.582089637
weekdays,['2'],['2'],['3'],['2']['2']['3'],1.633660698,1.556613091,1.589778841
weekdays,['1'],['2'],['9'],['1']['2']['9'],1.614163543,1.588115998,1.591567528
weekdays,['1'],['4'],['6'],['1']['4']['6'],1.618629915,1.59676504,1.605884789
weekdays,['1'],['2'],['11'],['1']['2']['11'],1.626658866,1.595121646,1.608697091
weekdays,['2'],['3'],['9'],['2']['3']['9'],1.626019418,1.602523492,1.612637499
weekdays,['2'],['3'],['5'],['2']['3']['5'],1.635129561,1.629744984,1.63154519
weekdays,['2'],['4'],['5'],['2']['4']['5'],1.650165685,1.642777839,1.645428542
weekdays,['1'],['4'],['9'],['1']['4']['9'],1.647358444,1.656749908,1.651421833
weekdays,['2'],['1'],['4'],['2']['1']['4'],1.692245359,1.650274747,1.665833263
weekdays,['1'],['3'],['9'],['1']['3']['9'],1.697020562,1.642968574,1.666182892
weekdays,['1'],['2'],['6'],['1']['2']['6'],1.726250597,1.663938763,1.685791346
weekdays,['1'],['4'],['5'],['1']['4']['5'],1.719623193,1.693232425,1.695351713
