SESSO,FASCIA,SCOPO,ENOJY,CAR2GO,TOTAL
weekends,['1'],['4'],['8'],1.10029974245,1.07298381186,1.08088046037
weekends,['1'],['3'],['1'],1.23591160044,1.21230070148,1.21903647882
weekends,['1'],['3'],['4'],1.15281664076,1.13311024624,1.13832646646
weekends,['1'],['3'],['5'],1.5743901949,1.57817323197,1.57544030158
weekends,['1'],['3'],['2'],1.60459065124,1.5946180572,1.59949068885
weekends,['1'],['3'],['7'],1.3423492327,1.27043213583,1.3037868978
weekends,['1'],['3'],['3'],1.99435804702,1.99101589496,1.99264887789
weekends,['1'],['3'],['9'],1.68383363472,1.64492052522,1.66393355717
weekends,['1'],['3'],['11'],1.98307414105,1.98769868694,1.98543912352
weekends,['1'],['3'],['6'],1.70589511754,1.70304077402,1.70443541262
weekends,['1'],['3'],['10'],1.96253164557,1.9604008293,1.96144195087
weekends,['1'],['3'],['8'],0.966128381945,0.932638721261,0.944007724495
weekends,['1'],['2'],['1'],0.907584022599,0.909180798469,0.896146997347
weekends,['1'],['2'],['4'],1.23409501891,1.19589118552,1.21224630115
weekends,['1'],['2'],['5'],1.33426961101,1.33402559537,1.33356696845
weekends,['1'],['2'],['2'],1.39948575949,1.36822736697,1.38265152854
weekends,['1'],['2'],['7'],1.11436729888,1.06775043796,1.08691382733
weekends,['1'],['2'],['3'],1.40833969593,1.4288131255,1.41689213511
weekends,['1'],['2'],['9'],1.62972875226,1.60511402903,1.6171408376
weekends,['1'],['2'],['11'],1.61895117541,1.60308026459,1.60956251736
weekends,['1'],['2'],['6'],1.72802893309,1.69702833449,1.71217529599
weekends,['1'],['2'],['10'],1.9678119349,1.94927436075,1.95833186075
weekends,['1'],['2'],['8'],0.845986086795,0.804918122922,0.811994325392
weekends,['2'],['1'],['1'],1.96347197107,1.96696613683,1.96525887966
weekends,['2'],['1'],['4'],1.68433996383,1.65583966828,1.66976497614
weekends,['2'],['1'],['5'],1.95652802893,1.96199032481,1.95932143488
weekends,['2'],['1'],['2'],1.97388788427,1.96910850035,1.97144371797
weekends,['2'],['1'],['7'],1.52785837073,1.48800498264,1.50632118836
weekends,['2'],['1'],['3'],1.30786225332,1.28457227848,1.29260431633
weekends,['2'],['1'],['9'],1.84318264014,1.81548030408,1.82901572716
weekends,['2'],['1'],['11'],1.96188065099,1.95342087077,1.95755433822
weekends,['2'],['1'],['6'],1.9756238698,1.97850725639,1.97709842728
weekends,['2'],['1'],['10'],1.99717902351,1.99806496199,1.99763209048
weekends,['2'],['1'],['8'],1.19764020535,1.17446000288,1.17770018893
weekends,['2'],['4'],['1'],1.94401446655,1.91485832757,1.92910408199
