TOTAL,AREA,HOUR,LONG,LAT,,,,,,,
2,699,11,7.637173335,45.0446593,,,,,,,
1,699,12,7.637173335,45.0446593,,,,,,,
1,699,14,7.637173335,45.0446593,,,,,,,
1,699,18,7.637173335,45.0446593,,,,,,,
2,699,19,7.637173335,45.0446593,,,,,,,
1,699,21,7.637173335,45.0446593,,,,,,,
1,700,10,7.643527088,45.0446593,,,,,,,
1,700,11,7.643527088,45.0446593,,,,,,,
1,700,14,7.643527088,45.0446593,,,,,,,
2,700,19,7.643527088,45.0446593,,,,,,,
1,700,21,7.643527088,45.0446593,,,,,,,
1,701,0,7.649880842,45.0446593,,,,,,,
1,701,2,7.649880842,45.0446593,,,,,,,
1,701,7,7.649880842,45.0446593,,,,,,,
1,701,8,7.649880842,45.0446593,,,,,,,
1,701,11,7.649880842,45.0446593,,,,,,,
2,701,12,7.649880842,45.0446593,,,,,,,
2,701,13,7.649880842,45.0446593,,,,,,,
1,701,14,7.649880842,45.0446593,,,,,,,
3,701,17,7.649880842,45.0446593,,,,,,,
1,701,20,7.649880842,45.0446593,,,,,,,
1,701,21,7.649880842,45.0446593,,,,,,,
1,702,3,7.656234595,45.0446593,,,,,,,
1,703,0,7.662588348,45.0446593,,,,,,,
1,703,4,7.662588348,45.0446593,,,,,,,
4,703,8,7.662588348,45.0446593,,,,,,,
2,703,9,7.662588348,45.0446593,,,,,,,
4,703,10,7.662588348,45.0446593,,,,,,,
2,703,11,7.662588348,45.0446593,,,,,,,
1,703,12,7.662588348,45.0446593,,,,,,,
2,703,15,7.662588348,45.0446593,,,,,,,
1,703,17,7.662588348,45.0446593,,,,,,,
1,703,18,7.662588348,45.0446593,,,,,,,
4,703,19,7.662588348,45.0446593,,,,,,,
5,703,20,7.662588348,45.0446593,,,,,,,
2,703,21,7.662588348,45.0446593,,,,,,,
1,703,22,7.662588348,45.0446593,,,,,,,
1,704,1,7.668942101,45.0446593,,,,,,,
2,704,8,7.668942101,45.0446593,,,,,,,
4,704,10,7.668942101,45.0446593,,,,,,,
6,704,11,7.668942101,45.0446593,,,,,,,
6,704,12,7.668942101,45.0446593,,,,,,,
1,704,18,7.668942101,45.0446593,,,,,,,
1,705,7,7.675295855,45.0446593,,,,,,,
1,705,8,7.675295855,45.0446593,,,,,,,
1,705,9,7.675295855,45.0446593,,,,,,,
1,705,10,7.675295855,45.0446593,,,,,,,
2,705,12,7.675295855,45.0446593,,,,,,,
1,705,13,7.675295855,45.0446593,,,,,,,
2,705,14,7.675295855,45.0446593,,,,,,,
2,705,16,7.675295855,45.0446593,,,,,,,
4,705,17,7.675295855,45.0446593,,,,,,,
1,705,18,7.675295855,45.0446593,,,,,,,
1,705,19,7.675295855,45.0446593,,,,,,,
1,705,23,7.675295855,45.0446593,,,,,,,
1,706,9,7.681649608,45.0446593,,,,,,,
1,706,11,7.681649608,45.0446593,,,,,,,
1,706,12,7.681649608,45.0446593,,,,,,,
3,706,13,7.681649608,45.0446593,,,,,,,
2,706,15,7.681649608,45.0446593,,,,,,,
1,706,16,7.681649608,45.0446593,,,,,,,
4,706,17,7.681649608,45.0446593,,,,,,,
1,706,19,7.681649608,45.0446593,,,,,,,
4,706,20,7.681649608,45.0446593,,,,,,,
3,706,21,7.681649608,45.0446593,,,,,,,
1,735,9,7.611758322,45.0491545,,,,,,,
1,735,10,7.611758322,45.0491545,,,,,,,
2,735,11,7.611758322,45.0491545,,,,,,,
2,735,12,7.611758322,45.0491545,,,,,,,
1,735,14,7.611758322,45.0491545,,,,,,,
2,735,15,7.611758322,45.0491545,,,,,,,
1,735,19,7.611758322,45.0491545,,,,,,,
1,735,21,7.611758322,45.0491545,,,,,,,
1,737,2,7.624465829,45.0491545,,,,,,,
1,737,10,7.624465829,45.0491545,,,,,,,
1,737,11,7.624465829,45.0491545,,,,,,,
1,737,12,7.624465829,45.0491545,,,,,,,
1,738,0,7.630819582,45.0491545,,,,,,,
1,738,8,7.630819582,45.0491545,,,,,,,
2,738,10,7.630819582,45.0491545,,,,,,,
1,738,11,7.630819582,45.0491545,,,,,,,
2,738,12,7.630819582,45.0491545,,,,,,,
1,738,14,7.630819582,45.0491545,,,,,,,
1,738,15,7.630819582,45.0491545,,,,,,,
1,738,17,7.630819582,45.0491545,,,,,,,
2,738,18,7.630819582,45.0491545,,,,,,,
2,738,19,7.630819582,45.0491545,,,,,,,
1,738,21,7.630819582,45.0491545,,,,,,,
1,739,8,7.637173335,45.0491545,,,,,,,
1,739,9,7.637173335,45.0491545,,,,,,,
1,739,10,7.637173335,45.0491545,,,,,,,
1,739,11,7.637173335,45.0491545,,,,,,,
1,739,12,7.637173335,45.0491545,,,,,,,
