number,long,lat,total,,,
107,7.688003361,44.97723135,0,,,
108,7.694357114,44.97723135,0,,,
109,7.700710868,44.97723135,0,,,
110,7.707064621,44.97723135,0,,,
111,7.713418374,44.97723135,0,,,
112,7.719772127,44.97723135,0,,,
113,7.726125881,44.97723135,0,,,
114,7.732479634,44.97723135,0,,,
115,7.738833387,44.97723135,0,,,
116,7.745187141,44.97723135,0,,,
117,7.751540894,44.97723135,0,,,
118,7.757894647,44.97723135,0,,,
119,7.7642484,44.97723135,0,,,
120,7.516452023,44.98172655,0,,,
121,7.522805776,44.98172655,0,,,
122,7.52915953,44.98172655,0,,,
123,7.535513283,44.98172655,0,,,
124,7.541867036,44.98172655,0,,,
125,7.548220789,44.98172655,0,,,
126,7.554574543,44.98172655,0,,,
127,7.560928296,44.98172655,0,,,
128,7.567282049,44.98172655,0,,,
129,7.573635802,44.98172655,0,,,
130,7.579989556,44.98172655,0,,,
131,7.586343309,44.98172655,0,,,
132,7.592697062,44.98172655,0,,,
133,7.599050816,44.98172655,0,,,
134,7.605404569,44.98172655,0,,,
135,7.611758322,44.98172655,0,,,
136,7.618112075,44.98172655,0,,,
137,7.624465829,44.98172655,0,,,
138,7.630819582,44.98172655,0,,,
139,7.637173335,44.98172655,0,,,
140,7.643527088,44.98172655,0,,,
141,7.649880842,44.98172655,0,,,
142,7.656234595,44.98172655,0,,,
143,7.662588348,44.98172655,0,,,
144,7.668942101,44.98172655,0,,,
145,7.675295855,44.98172655,0,,,
146,7.681649608,44.98172655,0,,,
147,7.688003361,44.98172655,0,,,
148,7.694357114,44.98172655,0,,,
149,7.700710868,44.98172655,0,,,
150,7.707064621,44.98172655,0,,,
151,7.713418374,44.98172655,0,,,
152,7.719772127,44.98172655,0,,,
153,7.726125881,44.98172655,0,,,
154,7.732479634,44.98172655,0,,,
155,7.738833387,44.98172655,0,,,
156,7.745187141,44.98172655,0,,,
157,7.751540894,44.98172655,0,,,
158,7.757894647,44.98172655,0,,,
159,7.7642484,44.98172655,0,,,
160,7.516452023,44.98622174,0,,,
161,7.522805776,44.98622174,0,,,
162,7.52915953,44.98622174,0,,,
163,7.535513283,44.98622174,0,,,
164,7.541867036,44.98622174,0,,,
165,7.548220789,44.98622174,0,,,
166,7.554574543,44.98622174,0,,,
167,7.560928296,44.98622174,0,,,
168,7.567282049,44.98622174,0,,,
169,7.573635802,44.98622174,0,,,
170,7.579989556,44.98622174,0,,,
171,7.586343309,44.98622174,0,,,
172,7.592697062,44.98622174,0,,,
173,7.599050816,44.98622174,0,,,
174,7.605404569,44.98622174,0,,,
175,7.611758322,44.98622174,0,,,
176,7.618112075,44.98622174,0,,,
177,7.624465829,44.98622174,0,,,
178,7.630819582,44.98622174,0,,,
179,7.637173335,44.98622174,0,,,
180,7.643527088,44.98622174,0,,,
181,7.649880842,44.98622174,0,,,
182,7.656234595,44.98622174,0,,,
183,7.662588348,44.98622174,0,,,
184,7.668942101,44.98622174,0,,,
185,7.675295855,44.98622174,0,,,
186,7.681649608,44.98622174,0,,,
187,7.688003361,44.98622174,0,,,
188,7.694357114,44.98622174,0,,,
189,7.700710868,44.98622174,0,,,
190,7.707064621,44.98622174,0,,,
191,7.713418374,44.98622174,0,,,
192,7.719772127,44.98622174,0,,,
193,7.726125881,44.98622174,0,,,
194,7.732479634,44.98622174,0,,,
195,7.738833387,44.98622174,0,,,
196,7.745187141,44.98622174,0,,,
197,7.751540894,44.98622174,0,,,
198,7.757894647,44.98622174,0,,,
199,7.7642484,44.98622174,0,,,
200,7.516452023,44.99071694,0,,,
201,7.522805776,44.99071694,0,,,
202,7.52915953,44.99071694,0,,,
203,7.535513283,44.99071694,0,,,
204,7.541867036,44.99071694,0,,,
205,7.548220789,44.99071694,0,,,
206,7.554574543,44.99071694,0,,,
207,7.560928296,44.99071694,0,,,
208,7.567282049,44.99071694,0,,,
209,7.573635802,44.99071694,0,,,
210,7.579989556,44.99071694,0,,,
211,7.586343309,44.99071694,0,,,
212,7.592697062,44.99071694,0,,,
213,7.599050816,44.99071694,0,,,
214,7.605404569,44.99071694,0,,,
215,7.611758322,44.99071694,0,,,
216,7.618112075,44.99071694,0,,,
217,7.624465829,44.99071694,0,,,
218,7.630819582,44.99071694,0,,,
219,7.637173335,44.99071694,0,,,
220,7.643527088,44.99071694,0,,,
221,7.649880842,44.99071694,0,,,
222,7.656234595,44.99071694,0,,,
223,7.662588348,44.99071694,0,,,
224,7.668942101,44.99071694,0,,,
225,7.675295855,44.99071694,0,,,
226,7.681649608,44.99071694,0,,,
227,7.688003361,44.99071694,0,,,
228,7.694357114,44.99071694,0,,,
229,7.700710868,44.99071694,0,,,
230,7.707064621,44.99071694,0,,,
231,7.713418374,44.99071694,0,,,
232,7.719772127,44.99071694,0,,,
233,7.726125881,44.99071694,0,,,
234,7.732479634,44.99071694,0,,,
235,7.738833387,44.99071694,0,,,
236,7.745187141,44.99071694,0,,,
237,7.751540894,44.99071694,0,,,
238,7.757894647,44.99071694,0,,,
239,7.7642484,44.99071694,0,,,
240,7.516452023,44.99521214,0,,,
241,7.522805776,44.99521214,0,,,
242,7.52915953,44.99521214,0,,,
243,7.535513283,44.99521214,0,,,
244,7.541867036,44.99521214,0,,,
245,7.548220789,44.99521214,0,,,
246,7.554574543,44.99521214,0,,,
247,7.560928296,44.99521214,0,,,
248,7.567282049,44.99521214,0,,,
249,7.573635802,44.99521214,0,,,
