AREA,HOUR,TOTAL,LONG,LAT
705,12,2,7.675295855,45.0446593
705,13,2,7.675295855,45.0446593
705,15,1,7.675295855,45.0446593
705,16,3,7.675295855,45.0446593
705,17,2,7.675295855,45.0446593
705,18,3,7.675295855,45.0446593
705,19,4,7.675295855,45.0446593
705,20,1,7.675295855,45.0446593
705,22,1,7.675295855,45.0446593
705,23,1,7.675295855,45.0446593
706,0,2,7.681649608,45.0446593
706,1,1,7.681649608,45.0446593
706,9,1,7.681649608,45.0446593
706,15,1,7.681649608,45.0446593
706,17,2,7.681649608,45.0446593
706,19,1,7.681649608,45.0446593
706,20,4,7.681649608,45.0446593
706,22,1,7.681649608,45.0446593
735,8,1,7.611758322,45.0491545
735,9,1,7.611758322,45.0491545
735,10,1,7.611758322,45.0491545
735,12,1,7.611758322,45.0491545
735,13,1,7.611758322,45.0491545
735,15,2,7.611758322,45.0491545
735,16,1,7.611758322,45.0491545
735,18,2,7.611758322,45.0491545
737,0,1,7.624465829,45.0491545
737,18,1,7.624465829,45.0491545
738,2,1,7.630819582,45.0491545
738,7,1,7.630819582,45.0491545
738,12,1,7.630819582,45.0491545
738,14,1,7.630819582,45.0491545
738,15,2,7.630819582,45.0491545
738,21,1,7.630819582,45.0491545
739,10,1,7.637173335,45.0491545
739,11,2,7.637173335,45.0491545
739,13,1,7.637173335,45.0491545
739,18,1,7.637173335,45.0491545
739,20,1,7.637173335,45.0491545
739,21,1,7.637173335,45.0491545
740,2,1,7.643527088,45.0491545
740,10,1,7.643527088,45.0491545
740,11,1,7.643527088,45.0491545
740,17,1,7.643527088,45.0491545
740,18,1,7.643527088,45.0491545
740,19,2,7.643527088,45.0491545
741,0,1,7.649880842,45.0491545
741,1,1,7.649880842,45.0491545
741,7,1,7.649880842,45.0491545
741,9,2,7.649880842,45.0491545
741,10,1,7.649880842,45.0491545
741,11,1,7.649880842,45.0491545
741,12,1,7.649880842,45.0491545
741,14,2,7.649880842,45.0491545
741,17,1,7.649880842,45.0491545
741,18,3,7.649880842,45.0491545
741,19,2,7.649880842,45.0491545
741,20,1,7.649880842,45.0491545
741,21,2,7.649880842,45.0491545
741,22,2,7.649880842,45.0491545
741,23,1,7.649880842,45.0491545
742,0,2,7.656234595,45.0491545
742,10,1,7.656234595,45.0491545
742,11,1,7.656234595,45.0491545
742,14,1,7.656234595,45.0491545
742,15,1,7.656234595,45.0491545
742,16,1,7.656234595,45.0491545
742,17,2,7.656234595,45.0491545
742,18,1,7.656234595,45.0491545
742,19,1,7.656234595,45.0491545
742,21,1,7.656234595,45.0491545
742,22,2,7.656234595,45.0491545
743,0,1,7.662588348,45.0491545
743,9,2,7.662588348,45.0491545
743,10,1,7.662588348,45.0491545
743,11,4,7.662588348,45.0491545
743,12,3,7.662588348,45.0491545
743,13,3,7.662588348,45.0491545
743,15,4,7.662588348,45.0491545
743,16,3,7.662588348,45.0491545
743,17,5,7.662588348,45.0491545
743,18,4,7.662588348,45.0491545
743,19,1,7.662588348,45.0491545
743,20,2,7.662588348,45.0491545
743,22,1,7.662588348,45.0491545
744,0,1,7.668942101,45.0491545
744,7,1,7.668942101,45.0491545
744,11,1,7.668942101,45.0491545
744,13,1,7.668942101,45.0491545
744,14,1,7.668942101,45.0491545
744,20,1,7.668942101,45.0491545
744,21,1,7.668942101,45.0491545
744,23,1,7.668942101,45.0491545
745,0,1,7.675295855,45.0491545
745,1,2,7.675295855,45.0491545
745,7,1,7.675295855,45.0491545
745,8,3,7.675295855,45.0491545
745,12,2,7.675295855,45.0491545
745,16,6,7.675295855,45.0491545
745,17,1,7.675295855,45.0491545
745,18,2,7.675295855,45.0491545
745,19,3,7.675295855,45.0491545
745,20,1,7.675295855,45.0491545
745,22,1,7.675295855,45.0491545
745,23,1,7.675295855,45.0491545
746,0,2,7.681649608,45.0491545
746,1,3,7.681649608,45.0491545
746,10,2,7.681649608,45.0491545
746,11,1,7.681649608,45.0491545
746,12,1,7.681649608,45.0491545
746,13,2,7.681649608,45.0491545
746,14,1,7.681649608,45.0491545
746,16,2,7.681649608,45.0491545
746,17,3,7.681649608,45.0491545
746,18,2,7.681649608,45.0491545
746,20,8,7.681649608,45.0491545
746,21,2,7.681649608,45.0491545
746,23,1,7.681649608,45.0491545
778,1,1,7.630819582,45.0536497
778,16,1,7.630819582,45.0536497
778,21,1,7.630819582,45.0536497
779,9,2,7.637173335,45.0536497
779,10,1,7.637173335,45.0536497
779,15,2,7.637173335,45.0536497
779,16,1,7.637173335,45.0536497
779,17,5,7.637173335,45.0536497
780,4,1,7.643527088,45.0536497
780,10,1,7.643527088,45.0536497
780,11,1,7.643527088,45.0536497
780,12,2,7.643527088,45.0536497
780,13,2,7.643527088,45.0536497
780,16,1,7.643527088,45.0536497
780,17,1,7.643527088,45.0536497
780,18,1,7.643527088,45.0536497
780,19,2,7.643527088,45.0536497
780,20,3,7.643527088,45.0536497
780,21,1,7.643527088,45.0536497
780,23,1,7.643527088,45.0536497
781,0,1,7.649880842,45.0536497
781,2,2,7.649880842,45.0536497
781,5,1,7.649880842,45.0536497
781,6,1,7.649880842,45.0536497
781,7,1,7.649880842,45.0536497
781,11,1,7.649880842,45.0536497
781,12,2,7.649880842,45.0536497
781,13,1,7.649880842,45.0536497
781,15,1,7.649880842,45.0536497
781,16,3,7.649880842,45.0536497
781,18,2,7.649880842,45.0536497
781,20,2,7.649880842,45.0536497
781,21,1,7.649880842,45.0536497
781,22,1,7.649880842,45.0536497
782,0,4,7.656234595,45.0536497
782,2,2,7.656234595,45.0536497
782,3,2,7.656234595,45.0536497
782,7,1,7.656234595,45.0536497
782,9,2,7.656234595,45.0536497
