MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-30T13:50:35.122+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
Torino 128 418456
Torino 120 418457
Torino 106 418458
Torino 72 418459
Torino 71 418460
Torino 64 418461
Torino 55 418462
Torino 34 418463
Torino 12 418464
Torino 16 418465
Torino 11 418466
Torino 24 418467
Torino 36 418468
Torino 101 418469
Torino 169 418470
Torino 136 418471
Torino 129 418472
Torino 101 418473
Torino 133 418474
Torino 151 418475
Torino 160 418476
Torino 141 418477
Torino 142 418478
Torino 173 418479
Torino 189 418480
Torino 154 418481
Torino 127 418482
Torino 97 418483
Torino 118 418484
Torino 98 418485
Torino 57 418486
Torino 27 418487
Torino 11 418488
Torino 7 418489
Torino 13 418490
Torino 23 418491
Torino 39 418492
Torino 101 418493
Torino 178 418494
Torino 146 418495
Torino 116 418496
Torino 107 418497
Torino 137 418498
Torino 139 418499
Torino 143 418500
Torino 125 418501
Torino 157 418502
Torino 173 418503
Torino 195 418504
Torino 180 418505
Torino 140 418506
Torino 138 418507
Torino 93 418508
Torino 89 418509
Torino 76 418510
Torino 41 418511
Torino 22 418512
Torino 7 418513
Torino 20 418514
Torino 17 418515
Torino 28 418516
Torino 113 418517
Torino 189 418518
Torino 164 418519
Torino 120 418520
Torino 131 418521
Torino 147 418522
Torino 157 418523
Torino 152 418524
Torino 146 418525
Torino 171 418526
Torino 161 418527
Torino 157 418528
Torino 146 418529
Torino 162 418530
Torino 104 418531
Torino 110 418532
Torino 123 418533
Torino 112 418534
Torino 76 418535
Torino 53 418536
Torino 27 418537
Torino 19 418538
Torino 22 418539
Torino 40 418540
Torino 33 418541
Torino 72 418542
Torino 89 418543
Torino 105 418544
Torino 137 418545
Torino 132 418546
Torino 126 418547
Torino 139 418548
Torino 131 418549
Torino 141 418550
Torino 118 418551
Torino 131 418552
Torino 157 418553
Torino 115 418554
Torino 119 418555
Torino 113 418556
Torino 118 418557
Madrid 152 417838
Madrid 100 417839
Madrid 73 417840
Madrid 60 417841
Madrid 53 417842
Madrid 29 417843
Madrid 75 417844
Madrid 316 417845
Madrid 395 417846
Madrid 280 417847
Madrid 204 417848
Madrid 199 417849
Madrid 228 417850
Madrid 309 417851
Madrid 447 417852
Madrid 382 417853
Madrid 377 417854
Madrid 311 417855
Madrid 294 417856
Madrid 327 417857
Madrid 386 417858
Madrid 323 417859
Madrid 285 417860
Madrid 293 417861
Madrid 235 417862
Madrid 140 417863
Madrid 125 417864
Madrid 80 417865
Madrid 58 417866
Madrid 4 417867
Madrid 29 417945
Madrid 253 417946
Madrid 339 417947
Madrid 347 417948
Madrid 401 417949
Madrid 321 417950
Madrid 346 417951
Madrid 381 417952
Madrid 362 417953
Madrid 320 417954
Madrid 272 417955
Madrid 185 417956
Madrid 170 417957
Madrid 101 417958
Madrid 75 417959
Madrid 47 417960
Madrid 49 417961
Madrid 44 417962
Madrid 29 417963
Madrid 66 417964
Madrid 289 417965
Madrid 406 417966
Madrid 304 417967
Madrid 221 417968
Madrid 204 417969
Madrid 234 417970
Madrid 322 417971
Madrid 384 417972
Madrid 363 417973
Madrid 336 417974
Madrid 333 417975
Madrid 355 417976
Madrid 362 417977
Madrid 336 417978
Madrid 231 417979
Madrid 190 417980
Madrid 157 417981
Madrid 115 417982
Madrid 80 417983
Madrid 54 417984
Madrid 40 417985
Madrid 38 417986
Madrid 27 417987
Madrid 70 417988
Madrid 259 417989
Madrid 405 417990
Madrid 291 417991
Madrid 216 417992
Madrid 208 417993
Madrid 218 417994
Madrid 323 417995
Madrid 372 417996
Madrid 366 417997
Madrid 352 417998
Madrid 343 417999
Madrid 374 418000
Madrid 352 418001
Madrid 378 418002
Madrid 293 418003
Madrid 229 418004
Madrid 167 418005
Madrid 139 418006
Madrid 83 418007
Madrid 57 418008
Madrid 65 418009
Madrid 48 418010
Madrid 38 418011
Madrid 77 418012
Madrid 303 418013
Madrid 421 418014
Madrid 316 418015
Madrid 235 418016
Madrid 266 418017
Madrid 284 418018
Madrid 365 418019
Madrid 384 418020
Madrid 349 418021
Madrid 354 418022
Madrid 323 418023
Madrid 306 418024
Madrid 344 418025
Madrid 390 418026
Madrid 280 418027
Madrid 244 418028
Madrid 240 418029
Madrid 226 418030
Madrid 179 418031
Madrid 148 418032
Madrid 116 418033
Madrid 81 418034
Madrid 57 418035
Madrid 48 418036
Madrid 56 418037
Madrid 129 418038
Madrid 149 418039
Madrid 222 418040
Madrid 260 418041
Madrid 282 418042
Madrid 310 418043
Madrid 295 418044
Madrid 233 418045
Madrid 228 418046
Madrid 244 418047
Madrid 277 418048
Madrid 278 418049
Madrid 307 418050
Madrid 298 418051
Madrid 229 418052
Madrid 249 418053
Madrid 225 418054
Madrid 185 418055
Madrid 159 418056
Madrid 103 418057
Madrid 74 418058
Madrid 51 418059
Madrid 52 418060
Madrid 23 418061
Madrid 50 418062
Madrid 74 418063
Madrid 99 418064
Madrid 142 418065
Madrid 203 418066
Madrid 243 418067
Madrid 240 418068
Madrid 165 418069
Madrid 209 418070
Madrid 230 418071
Madrid 225 418072
Madrid 258 418073
Madrid 250 418074
Madrid 229 418075
Madrid 195 418076
Madrid 157 418077
Madrid 112 418078
Madrid 70 418079
Madrid 50 418080
Madrid 45 418081
Madrid 34 418082
Madrid 20 418083
Madrid 62 418084
Madrid 236 418085
Madrid 384 418086
Madrid 284 418087
Madrid 203 418088
Madrid 186 418089
Madrid 251 418090
Madrid 298 418091
Madrid 379 418092
Madrid 367 418093
Madrid 337 418094
Madrid 323 418095
Madrid 337 418096
Madrid 368 418097
Madrid 323 418098
Madrid 266 418099
Madrid 178 418100
Madrid 142 418101
Madrid 118 418102
Madrid 52 418103
Madrid 55 418104
Madrid 42 418105
Madrid 34 418106
Madrid 28 418107
Madrid 69 418108
Madrid 255 418109
Madrid 371 418110
Madrid 298 418111
Madrid 235 418112
Madrid 226 418113
Madrid 256 418114
Madrid 321 418115
Madrid 371 418116
Madrid 329 418117
Madrid 351 418118
Madrid 362 418119
Madrid 337 418120
Madrid 366 418121
Madrid 350 418122
Madrid 274 418123
Madrid 201 418124
Madrid 173 418125
Madrid 109 418126
Madrid 71 418127
Madrid 66 418128
Madrid 56 418129
Madrid 35 418130
Madrid 28 418131
Madrid 63 418132
Madrid 237 418133
Madrid 346 418134
Madrid 270 418135
Madrid 223 418136
Madrid 204 418137
Madrid 218 418138
Madrid 303 418139
Madrid 346 418140
Madrid 377 418141
Madrid 336 418142
Madrid 326 418143
Madrid 366 418144
Madrid 354 418145
Madrid 335 418146
Madrid 276 418147
Madrid 248 418148
Madrid 196 418149
Madrid 110 418150
Madrid 87 418151
Madrid 57 418152
Madrid 44 418153
Madrid 50 418154
Madrid 32 418155
Madrid 70 418156
Madrid 252 418157
Madrid 361 418158
Madrid 299 418159
Madrid 225 418160
Madrid 235 418161
Madrid 277 418162
Madrid 329 418163
Madrid 377 418164
Madrid 376 418165
Madrid 395 418166
Madrid 347 418167
Madrid 379 418168
Madrid 366 418169
Madrid 392 418170
