Longitute,Latitute,Outgoing
7.688003361,45.07930256,245
7.694357114,45.07930256,227
7.700710868,45.07930256,164
7.707064621,45.07930256,2
7.713418374,45.07930256,35
7.719772127,45.07930256,1
7.726125881,45.07930256,1
7.618112075,45.08379775,99
7.624465829,45.08379775,81
7.630819582,45.08379775,99
7.637173335,45.08379775,103
7.643527088,45.08379775,66
7.649880842,45.08379775,196
7.656234595,45.08379775,281
7.662588348,45.08379775,292
7.668942101,45.08379775,245
7.675295855,45.08379775,275
7.681649608,45.08379775,166
7.688003361,45.08379775,206
7.694357114,45.08379775,222
7.700710868,45.08379775,100
7.649880842,45.08829295,107
7.656234595,45.08829295,185
7.662588348,45.08829295,129
7.668942101,45.08829295,258
7.675295855,45.08829295,186
7.681649608,45.08829295,255
7.688003361,45.08829295,187
7.694357114,45.08829295,145
7.700710868,45.08829295,166
7.707064621,45.08829295,100
7.713418374,45.08829295,39
7.656234595,45.09278815,207
7.662588348,45.09278815,89
7.668942101,45.09278815,75
7.675295855,45.09278815,121
7.681649608,45.09278815,250
7.688003361,45.09278815,107
7.694357114,45.09278815,122
7.700710868,45.09278815,104
7.707064621,45.09278815,36
7.713418374,45.09278815,178
7.719772127,45.09278815,18
7.649880842,45.09728334,38
7.656234595,45.09728334,127
7.662588348,45.09728334,144
7.668942101,45.09728334,118
7.675295855,45.09728334,158
7.681649608,45.09728334,115
7.688003361,45.09728334,85
7.694357114,45.09728334,155
7.700710868,45.09728334,145
7.707064621,45.09728334,60
7.713418374,45.09728334,41
7.719772127,45.09728334,25
7.637173335,45.10177854,95
7.643527088,45.10177854,165
7.649880842,45.10177854,108
7.656234595,45.10177854,105
7.662588348,45.10177854,132
7.668942101,45.10177854,149
7.675295855,45.10177854,190
7.681649608,45.10177854,113
7.688003361,45.10177854,84
7.694357114,45.10177854,93
7.700710868,45.10177854,140
7.707064621,45.10177854,9
7.637173335,45.10627374,95
7.643527088,45.10627374,146
7.649880842,45.10627374,87
7.656234595,45.10627374,88
7.662588348,45.10627374,162
7.668942101,45.10627374,115
7.675295855,45.10627374,68
7.681649608,45.10627374,107
7.688003361,45.10627374,5
7.694357114,45.10627374,39
7.700710868,45.10627374,198
7.643527088,45.11076893,147
7.649880842,45.11076893,56
7.656234595,45.11076893,158
